system:index,Aspect,Eastness,Elevation,GaussianCurvature,HAND,Hillshade,HorizontalCurvature,MaximalCurvature,MeanCurvature,MinimalCurvature,Northness,PRCPTOT,ShapeIndex,Slope,TPI,VerticalCurvature,lineament,presence,.geo
000000000000000002f9_0,1.386508508118371,0.02419677681363386,1024.083341385213,-3.470937860658892E-7,161.53822,0.8475643886086961,7.38502845871608E-4,9.98999800989906E-4,3.257792522415924E-4,-3.4744129650672107E-4,0.9997072151344268,1353.412,0.30806771093028523,32.15120582933885,60,-8.694434138842306E-5,1.5667425,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fe_0,14.684067701668528,0.25348896560503914,1040.9932441049118,-2.207765644401918E-6,263.564,0.8749152164854607,-0.0010269938953114096,0.0015422375819497982,5.535175538926779E-5,-0.0014315340711712626,0.9673382781201658,1353.412,0.02369921165875555,29.096472002428104,76,0.001137697406089945,2.0699651,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000304_0,327.86917337417896,-0.5318542763022762,1005.4305644810502,-4.63780623363462E-7,261.91318,0.9551863612173749,-7.519697304520967E-4,5.700403783660879E-4,-1.2177610189093304E-4,-8.13592582147954E-4,0.8468358924720787,1353.412,-0.11206017271634722,17.215485638939427,37,5.084175266702307E-4,2.2451446,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000738_0,208.6291301643621,-0.479138177769343,547.2791391114154,1.3270645389195924E-8,12.997126,0.9971320577787492,-1.7287345047210207E-4,-2.8663589051890876E-5,-2.4582139209817426E-4,-4.6297919514445764E-4,-0.8777394867521191,1612.1025,-0.7206499443506874,4.181410325171284,-62,-3.187693337242465E-4,0.8443642,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000836_0,243.69491284334822,-0.8964470876075363,1112.4161524859517,4.732723568631921E-6,156.17247,0.851751082947556,-0.003192405669452758,-0.0011502721840315055,-0.002632355085195498,-0.004114437986359491,-0.44315078598595103,1315.998,-1.1307122522037483,31.41626714707013,-13,-0.002072304500938238,0.98548174,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000aa0_0,15.531771641630442,0.2677726870870514,946.142669211873,-4.5977336481532747E-7,160.16165,0.9390247830780339,-4.046090340417971E-4,7.312107100685024E-4,5.1213512515796966E-5,-6.287836850369084E-4,0.9634821161029301,1612.1025,0.047946572128959246,20.244720824001337,6,5.07036059073391E-4,1.9402578,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce6_0,359.78884426159965,-0.003685354527200903,1244.851780424499,-3.2135503998607835E-6,110.289246,0.9014541638669523,0.0018538272877747742,0.0024721572395337843,5.86129994236338E-4,-0.001299897251061108,0.999993209057946,1600.8655,0.19784546826612834,25.744669276322902,-3,-6.815672993020981E-4,2.013418,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d65_0,8.411837146646961,0.1462874063206114,534.2236073879913,-1.0240822792817242E-7,27.091856,0.984531724409189,1.7443155509836152E-4,1.9025567443831145E-4,-1.74005339046179E-4,-5.382663525306694E-4,0.9892421315087567,1588.4065,-0.30410951277671905,10.206885087786537,-55,-5.224422331907195E-4,1.9606777,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,10.513518326431244,0.18246750889781346,1103.7467116347375,9.974523722947118E-7,190.64351,0.9709771342190169,-0.002737776460677948,-3.6770263227221735E-4,-0.0015401815198811265,-0.0027126604074900356,0.9832118836734157,1612.1025,-0.8362709290152576,13.959240832967387,62,-3.4258657908430436E-4,1.995433,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8_0,69.6606938959614,0.9376507088148176,1183.7539928573424,-9.930839001143732E-9,118.34742,0.9319067567329249,7.618033418183419E-5,2.480688584688706E-4,1.0401813403632215E-4,-4.0032590396226305E-5,0.34757898132520937,1353.412,0.45969918633287676,21.44428305392184,-53,1.3185593389081015E-4,0.85544324,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014a_0,4.395209549384776,0.07663566513971377,916.4038030358244,1.8440840649309137E-7,103.31517,0.890644356049628,-2.2339768681746015E-4,-1.4247999727883388E-4,-7.18377877692725E-4,-0.0012942757581066162,0.9970591631536183,1600.8655,-0.7941226674457779,27.152433757895746,-19,-0.00121335806856799,2.2054641,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
